ID,NAN,ED,LA,O,D,SL
222,999,0,184,6,35,10
223,999,0,184,6,35,10
224,999,0,184,6,35,10
225,999,0,184,6,35,10
226,999,0,184,31,24,10
227,999,0,184,31,24,10
228,999,0,184,31,24,10
229,999,0,184,2,5,10
230,999,0,184,4,5,10
231,999,0,184,4,5,10
232,999,0,184,24,20,10
233,999,0,184,24,12,10
234,999,0,184,12,24,10
235,999,0,184,12,24,10
236,999,0,184,23,5,10
237,999,0,184,6,5,10
238,999,0,184,6,5,10
239,999,0,184,6,5,10
240,999,0,184,4,24,10
241,999,0,184,4,24,10
242,999,0,184,4,24,10
243,999,0,184,4,24,10
244,999,0,184,4,24,10
245,999,0,184,35,30,10
246,999,0,184,35,30,10
247,999,0,184,4,35,10
248,999,0,184,4,35,10
249,999,0,184,4,35,10
250,999,0,184,4,35,10
251,999,0,184,4,35,10
252,999,0,184,24,1,10
253,999,0,184,2,24,10
254,999,0,184,2,24,10
255,999,0,184,5,24,10
256,999,0,184,5,24,10
257,999,0,184,30,20,10
258,999,0,184,25,35,10
259,999,0,184,25,35,10
260,999,0,184,25,35,10
261,999,0,184,25,35,10
262,999,0,184,5,30,10
263,999,0,184,0,5,10
264,999,0,184,24,23,10
265,999,0,184,23,24,10
266,999,0,184,20,23,10
