ID,NAN,ED,LA,O,D,SL
334,999,0,184,3,1,10
335,999,0,184,3,1,10
336,999,0,184,3,1,10
337,999,0,184,3,1,10
338,999,0,184,3,1,10
339,999,0,184,3,1,10
340,999,0,184,3,1,10
341,999,0,184,3,1,10
342,999,0,184,3,1,10
343,999,0,184,3,10,10
344,999,0,184,3,10,10
345,999,0,184,3,10,10
346,999,0,184,3,20,10
347,999,0,184,3,20,10
348,999,0,184,3,20,10
349,999,0,184,3,20,10
350,999,0,184,3,20,10
351,999,0,184,3,0,10
352,999,0,184,3,0,10
353,999,0,184,3,0,10
354,999,0,184,3,20,10
355,999,0,184,3,20,10
356,999,0,184,3,20,10
357,999,0,184,3,20,10
358,999,0,184,3,20,10
359,999,0,184,3,20,10
360,999,0,184,3,20,10
361,999,0,184,3,20,10
362,999,0,184,3,20,10
363,999,0,184,3,20,10
364,999,0,184,3,20,10
365,999,0,184,3,20,10
366,999,0,184,3,20,10
367,999,0,184,3,20,10
368,999,0,184,3,20,10
369,999,0,184,3,20,10
370,999,0,184,3,20,10
371,999,0,184,3,20,10
372,999,0,184,3,20,10
373,999,0,184,3,20,10
374,999,0,184,3,20,10
375,999,0,184,3,20,10
376,999,0,184,3,20,10
377,999,0,184,3,18,10
378,999,0,184,3,18,10
379,999,0,184,3,18,10
380,999,0,184,3,18,10
381,999,0,184,3,18,10
382,999,0,184,3,18,10
383,999,0,184,3,18,10
384,999,0,184,3,18,10
385,999,0,184,3,18,10
386,999,0,184,3,18,10
387,999,0,184,3,18,10
388,999,0,184,3,18,10
389,999,0,184,3,18,10
390,999,0,184,3,18,10
391,999,0,184,3,19,10
392,999,0,184,3,19,10
393,999,0,184,3,19,10
394,999,0,184,3,19,10
395,999,0,184,3,19,10
396,999,0,184,3,12,10
397,999,0,184,3,12,10
398,999,0,184,3,12,10
399,999,0,184,3,12,10
400,999,0,184,3,12,10
401,999,0,184,3,12,10
402,999,0,184,11,7,10
403,999,0,184,11,7,10
404,999,0,184,14,21,10
405,999,0,184,14,21,10
406,999,0,184,14,3,10
407,999,0,184,14,3,10
408,999,0,184,14,4,10
409,999,0,184,14,4,10
410,999,0,184,14,4,10
411,999,0,184,14,4,10
412,999,0,184,11,2,10
413,999,0,184,11,2,10
414,999,0,184,11,2,10
415,999,0,184,11,2,10
416,999,0,184,11,2,10
417,999,0,184,11,2,10
418,999,0,184,11,2,10
419,999,0,184,11,2,10
420,999,0,184,11,2,10
421,999,0,184,11,2,10
422,999,0,184,11,2,10
423,999,0,184,11,2,10
424,999,0,184,11,1,10
425,999,0,184,11,1,10
426,999,0,184,11,1,10
427,999,0,184,11,1,10
428,999,0,184,11,1,10
429,999,0,184,11,1,10
430,999,0,184,11,7,10
431,999,0,184,11,7,10
432,999,0,184,11,7,10
433,999,0,184,11,7,10
434,999,0,184,11,7,10
435,999,0,184,11,7,10
436,999,0,184,11,7,10
437,999,0,184,11,7,10
438,999,0,184,11,7,10
439,999,0,184,11,7,10
440,999,0,184,12,17,10
441,999,0,184,12,17,10
442,999,0,184,12,17,10
443,999,0,184,12,17,10
444,999,0,184,12,17,10
445,999,0,184,12,17,10
446,999,0,184,12,17,10
447,999,0,184,12,17,10
448,999,0,184,12,3,10
449,999,0,184,12,3,10
450,999,0,184,12,3,10
451,999,0,184,12,3,10
452,999,0,184,12,3,10
453,999,0,184,12,3,10
454,999,0,184,12,3,10
455,999,0,184,12,3,10
456,999,0,184,12,3,10
457,999,0,184,12,3,10
458,999,0,184,12,3,10
459,999,0,184,12,3,10
460,999,0,184,12,3,10
461,999,0,184,12,3,10
462,999,0,184,12,3,10
463,999,0,184,12,3,10
464,999,0,184,12,3,10
465,999,0,184,12,3,10
466,999,0,184,12,3,10
467,999,0,184,12,11,10
468,999,0,184,12,0,10
469,999,0,184,12,0,10
470,999,0,184,12,0,10
471,999,0,184,12,12,10
472,999,0,184,12,12,10
473,999,0,184,12,12,10
474,999,0,184,12,12,10
475,999,0,184,12,12,10
476,999,0,184,12,12,10
477,999,0,184,12,12,10
478,999,0,184,18,9,10
479,999,0,184,18,9,10
480,999,0,184,18,9,10
481,999,0,184,18,9,10
482,999,0,184,18,9,10
483,999,0,184,18,9,10
484,999,0,184,18,14,10
485,999,0,184,18,14,10
486,999,0,184,18,14,10
487,999,0,184,18,14,10
488,999,0,184,18,14,10
489,999,0,184,18,14,10
490,999,0,184,18,14,10
491,999,0,184,18,14,10
492,999,0,184,18,14,10
493,999,0,184,18,14,10
494,999,0,184,18,14,10
495,999,0,184,1,19,10
496,999,0,184,1,6,10
497,999,0,184,1,6,10
498,999,0,184,1,6,10
499,999,0,184,1,6,10
500,999,0,184,1,6,10
501,999,0,184,1,6,10
502,999,0,184,1,6,10
503,999,0,184,1,6,10
504,999,0,184,1,6,10
505,999,0,184,1,6,10
506,999,0,184,1,6,10
507,999,0,184,1,6,10
508,999,0,184,1,6,10
509,999,0,184,1,6,10
510,999,0,184,1,6,10
511,999,0,184,1,6,10
512,999,0,184,1,6,10
513,999,0,184,7,20,10
514,999,0,184,8,20,10
515,999,0,184,8,20,10
516,999,0,184,8,0,10
517,999,0,184,8,20,10
518,999,0,184,8,20,10
519,999,0,184,8,0,10
520,999,0,184,8,21,10
521,999,0,184,8,9,10
522,999,0,184,8,9,10
523,999,0,184,8,9,10
524,999,0,184,8,9,10
525,999,0,184,8,10,10
526,999,0,184,8,20,10
527,999,0,184,8,0,10
528,999,0,184,8,13,10
529,999,0,184,8,13,10
530,999,0,184,8,13,10
531,999,0,184,8,13,10
532,999,0,184,8,20,10
533,999,0,184,8,20,10
534,999,0,184,8,20,10
535,999,0,184,7,14,10
536,999,0,184,7,14,10
537,999,0,184,7,0,10
538,999,0,184,15,4,10
539,999,0,184,4,1,10
540,999,0,184,11,12,10
541,999,0,184,11,20,10
542,999,0,184,11,20,10
543,999,0,184,20,21,10
544,999,0,184,20,21,10
545,999,0,184,20,17,10
546,999,0,184,20,17,10
547,999,0,184,20,17,10
548,999,0,184,20,13,10
549,999,0,184,20,20,10
550,999,0,184,0,12,10
551,999,0,184,0,12,10
552,999,0,184,0,12,10
553,999,0,184,0,12,10
554,999,0,184,0,12,10
555,999,0,184,0,12,10
556,999,0,184,0,12,10
557,999,0,184,0,14,10
558,999,0,184,0,14,10
559,999,0,184,0,14,10
560,999,0,184,0,14,10
561,999,0,184,0,16,10
562,999,0,184,0,16,10
563,999,0,184,0,16,10
564,999,0,184,0,16,10
565,999,0,184,0,16,10
566,999,0,184,0,16,10
567,999,0,184,0,16,10
568,999,0,184,0,16,10
569,999,0,184,0,16,10
570,999,0,184,13,14,10
571,999,0,184,13,14,10
572,999,0,184,13,14,10
573,999,0,184,13,20,10
574,999,0,184,13,14,10
575,999,0,184,13,14,10
576,999,0,184,13,14,10
577,999,0,184,13,14,10
578,999,0,184,13,12,10
579,999,0,184,13,12,10
580,999,0,184,13,12,10
581,999,0,184,13,3,10
582,999,0,184,13,3,10
583,999,0,184,13,3,10
584,999,0,184,13,3,10
585,999,0,184,13,3,10
586,999,0,184,13,3,10
587,999,0,184,13,3,10
588,999,0,184,13,3,10
589,999,0,184,13,3,10
590,999,0,184,13,16,10
591,999,0,184,18,1,10
592,999,0,184,18,1,10
593,999,0,184,18,1,10
594,999,0,184,18,1,10
595,999,0,184,18,1,10
596,999,0,184,18,1,10
597,999,0,184,18,1,10
598,999,0,184,18,1,10
599,999,0,184,18,1,10
600,999,0,184,18,1,10
601,999,0,184,18,21,10
602,999,0,184,18,21,10
603,999,0,184,18,21,10
604,999,0,184,18,21,10
605,999,0,184,18,20,10
606,999,0,184,18,20,10
607,999,0,184,18,20,10
608,999,0,184,18,20,10
609,999,0,184,18,20,10
610,999,0,184,18,20,10
611,999,0,184,18,20,10
612,999,0,184,18,20,10
613,999,0,184,18,20,10
614,999,0,184,18,20,10
615,999,0,184,18,20,10
616,999,0,184,18,20,10
617,999,0,184,18,20,10
618,999,0,184,18,20,10
619,999,0,184,18,20,10
620,999,0,184,18,20,10
621,999,0,184,18,9,10
622,999,0,184,18,9,10
623,999,0,184,18,9,10
624,999,0,184,0,14,10
625,999,0,184,0,14,10
626,999,0,184,0,14,10
627,999,0,184,0,14,10
628,999,0,184,0,14,10
629,999,0,184,0,9,10
630,999,0,184,0,9,10
631,999,0,184,0,9,10
632,999,0,184,0,9,10
633,999,0,184,0,9,10
634,999,0,184,0,9,10
635,999,0,184,0,20,10
636,999,0,184,0,3,10
637,999,0,184,0,3,10
638,999,0,184,0,3,10
639,999,0,184,0,3,10
640,999,0,184,0,3,10
641,999,0,184,0,3,10
642,999,0,184,0,3,10
643,999,0,184,0,3,10
644,999,0,184,12,21,10
645,999,0,184,12,21,10
646,999,0,184,12,21,10
647,999,0,184,12,20,10
648,999,0,184,12,0,10
649,999,0,184,16,17,10
650,999,0,184,16,17,10
651,999,0,184,16,17,10
652,999,0,184,16,17,10
653,999,0,184,16,17,10
654,999,0,184,16,17,10
655,999,0,184,19,9,10
656,999,0,184,19,9,10
657,999,0,184,19,9,10
658,999,0,184,19,9,10
659,999,0,184,19,2,10
660,999,0,184,19,2,10
661,999,0,184,19,2,10
662,999,0,184,19,2,10
663,999,0,184,19,2,10
664,999,0,184,19,2,10
665,999,0,184,19,14,10
666,999,0,184,19,14,10
667,999,0,184,19,14,10
668,999,0,184,19,14,10
669,999,0,184,19,14,10
670,999,0,184,19,1,10
671,999,0,184,19,20,10
672,999,0,184,19,1,10
673,999,0,184,19,1,10
674,999,0,184,1,14,10
675,999,0,184,1,14,10
676,999,0,184,1,14,10
677,999,0,184,1,17,10
678,999,0,184,1,17,10
679,999,0,184,1,17,10
680,999,0,184,1,17,10
681,999,0,184,1,17,10
682,999,0,184,1,17,10
683,999,0,184,1,2,10
684,999,0,184,1,2,10
685,999,0,184,1,2,10
686,999,0,184,1,2,10
687,999,0,184,1,1,10
688,999,0,184,1,20,10
689,999,0,184,1,20,10
690,999,0,184,1,20,10
691,999,0,184,1,20,10
692,999,0,184,1,12,10
693,999,0,184,1,19,10
694,999,0,184,6,17,10
695,999,0,184,6,17,10
696,999,0,184,6,17,10
697,999,0,184,4,21,10
698,999,0,184,4,13,10
699,999,0,184,4,13,10
700,999,0,184,4,13,10
701,999,0,184,4,13,10
702,999,0,184,17,13,10
703,999,0,184,17,13,10
704,999,0,184,4,9,10
705,999,0,184,4,3,10
706,999,0,184,4,3,10
707,999,0,184,4,3,10
708,999,0,184,4,3,10
709,999,0,184,4,3,10
710,999,0,184,4,20,10
711,999,0,184,4,1,10
712,999,0,184,0,8,10
713,999,0,184,12,17,10
714,999,0,184,12,9,10
715,999,0,184,12,9,10
716,999,0,184,12,9,10
717,999,0,184,12,9,10
718,999,0,184,12,9,10
719,999,0,184,12,9,10
720,999,0,184,12,9,10
721,999,0,184,12,9,10
722,999,0,184,12,14,10
723,999,0,184,12,3,10
724,999,0,184,12,3,10
725,999,0,184,12,3,10
726,999,0,184,12,3,10
727,999,0,184,12,20,10
728,999,0,184,12,20,10
729,999,0,184,12,1,10
730,999,0,184,12,1,10
731,999,0,184,12,1,10
732,999,0,184,16,12,10
733,999,0,184,16,12,10
734,999,0,184,16,12,10
735,999,0,184,16,12,10
736,999,0,184,16,12,10
737,999,0,184,16,19,10
738,999,0,184,16,19,10
739,999,0,184,16,19,10
740,999,0,184,16,19,10
741,999,0,184,16,19,10
742,999,0,184,16,19,10
743,999,0,184,16,19,10
